Date,open,high,low,close,volume,dividends,stock splits,macd,macdsignal,macdhist,RSI,MOM,slowk,slowd
2020-01-02 00:00:00+08:00,13.019815148115926,13.019815148115926,12.925808906555176,12.925808906555176,5681530,0.0,0.0,,,,,,,
2020-01-03 00:00:00+08:00,12.972811698913574,13.01981481850401,12.925808579323139,12.972811698913574,3233513,0.0,0.0,,,,,,,
2020-01-06 00:00:00+08:00,12.878805160522461,12.925808279020885,12.831802042024039,12.878805160522461,5666281,0.0,0.0,,,,,,,
2020-01-07 00:00:00+08:00,12.878805487857143,12.925808607550223,12.831802368164062,12.831802368164062,3841615,0.0,0.0,,,,,,,
2020-01-08 00:00:00+08:00,12.83180179689628,12.878804914496794,12.784799575805664,12.784799575805664,7719022,0.0,0.0,,,,,,,
2020-01-09 00:00:00+08:00,12.78480011706177,13.01981481850401,12.78480011706177,12.972811698913574,11849084,0.0,0.0,,,,,,,
2020-01-10 00:00:00+08:00,12.972811372862884,13.066816713171143,12.972811372862884,13.019814491271973,8539617,0.0,0.0,,,,,,,
2020-01-13 00:00:00+08:00,12.878805160522461,12.925808279020885,12.784799820035532,12.878805160522461,18139408,0.0,0.0,,,,,,,
2020-01-14 00:00:00+08:00,12.878804914496794,12.92580803209731,12.690793340604632,12.784799575805664,22680977,0.0,0.0,,,,,,47.222316854082656,55.74081051709559
2020-01-15 00:00:00+08:00,12.784800231108319,12.784800231108319,12.643790871079142,12.690793991088867,19590376,0.0,0.0,,,,,,23.14818739909319,45.30870320274787
2020-01-16 00:00:00+08:00,12.737796458205148,12.784799575805664,12.690793340604632,12.784799575805664,6704615,0.0,0.0,,,,,-0.14100933074951172,23.14820964386979,31.17290463234855
2020-01-17 00:00:00+08:00,12.784799575805664,12.784799575805664,12.737796458205148,12.784799575805664,4729405,0.0,0.0,,,,,-0.18801212310791016,31.481508311639015,25.925968451534004
2020-01-20 00:00:00+08:00,12.784799575805664,12.83180179689628,12.737796458205148,12.784799575805664,5809133,0.0,0.0,,,,,-0.09400558471679688,44.44446636237506,33.024728105961294
